"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"3047",42.247501,42.665001,42.105,42.602501,95280000,41.421215
"3048",42.762501,42.802502,42.3125,42.357498,83973600,41.182999
"3049",42.525002,42.75,42.424999,42.7225,89134000,41.537884
"3050",42.8475,43.119999,42.48,42.544998,89960800,41.365295
"3051",42.427502,42.814999,42.345001,42.700001,87342800,41.516006
"3052",42.8125,42.924999,42.4375,42.605,98507200,41.423641
"3053",42.427502,42.860001,42.372501,42.732498,75891200,41.547607
"3054",42.797501,43.330002,42.747501,43.0075,104457600,41.81498
"3055",42.950001,43.092499,42.575001,42.764999,68998800,41.579205
"3056",42.895,43.25,42.845001,43.2425,75652800,42.043468
"3057",43.540001,43.967499,43.487499,43.557499,87493600,42.349724
"3058",43.427502,43.825001,43.2925,43.5825,68280800,42.374039
"3059",43.302502,43.75,43.182499,43.717499,111341600,42.505291
"3060",43.580002,43.727501,43.23,43.287498,112861600,42.087212
"3061",43.57,43.787498,43.2225,43.7425,103544800,42.529598
"3062",43.922501,44.4375,43.4925,43.962502,109744800,42.743504
"3063",43.985001,44,43.634998,43.8825,78949600,42.665714
"3064",43.6675,43.872501,43.485001,43.630001,83241600,42.420219
"3065",43.467499,43.610001,43.005001,43.125,99185600,41.92923
"3066",42.580002,43.267502,42.375,43.227501,95997600,42.028881
"3067",43.872501,44.779999,43.837502,44.724998,128044000,43.484852
"3068",45,45.6675,44.842499,45.227501,129870400,43.973427
"3069",45.5625,45.825001,45.23,45.427502,124130000,44.167877
"3070",45.974998,46.025002,45.639999,45.932499,94318000,44.658878
"3071",46.212502,46.8325,45.935001,46.529999,156171600,45.239811
"3072",46.450001,47.0975,46.447498,47.005001,104879200,45.701641
"3073",47.087502,47.247501,46.48,46.6325,126585600,45.339462
"3074",46.557499,47.372501,46.182499,47.040001,124140800,45.735672
"3075",47.505001,49.0825,47.452499,48.772499,204136800,47.420135
"3076",48.834999,49.422501,47.695,47.762501,169630800,46.438129
"3077",47.877499,47.994999,46.650002,47.185001,175381200,45.876648
"3078",47.915001,48.220001,46.145,46.697498,199202000,45.402668
"3079",47.1875,47.439999,46.637501,47.1175,119393600,45.811016
"3080",47.237499,47.389999,46.8825,47.18,83121600,45.871784
"3081",47.4575,47.52,47.134998,47.487499,94256000,46.170757
"3082",47.91,47.919998,47.095001,47.810001,111448000,46.484314
"3083",47.772499,48.615002,47.762501,48.505001,91062800,47.160046
"3084",48.3125,49.125,48.287498,48.837502,93087200,47.483322
"3085",48.697498,49.092499,48.285,48.922501,76457200,47.565964
"3086",49.112499,49.275002,48.982498,49.25,74106400,47.884384
"3087",49.105,50.057499,49.084999,50.025002,103526800,48.637901
"3088",50.080002,50.712502,49.807499,49.875,143072800,48.492058
"3089",49.669998,50.185001,49.544998,50.154999,86781200,48.76429
"3090",50.212502,50.25,49.610001,49.737499,83603200,48.358372
